1'        a1'  0.67814E+00  0.73921E-01 0 0
2'        b1'  0.26388E+01  0.98809E-01 0 0
3'        b2'  0.12242E+01  0.36284E-01 0 0 
5'        a2'  0.12114E+00  0.11878E-01 0 0 
6'        c3'  0.71294E+01  0.12228E-01 0 0 
7'        p1'  0.80007E+03  0.74756E+01 0 0
